COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
France,FRA,EURO,REPORTING,2021-03-23,10453534,7798091,15.5,11.584,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-15,3
Maldives,MDV,SEARO,REPORTING,2021-03-25,227423,227423,42.073,42.073,"Beijing CNBG - Inactivated,SII - Covishield",2021-02-01,2
Curaçao,CUW,AMRO,REPORTING,2021-03-11,0,0,0,0,Pfizer BioNTech - Comirnaty,2021-02-24,1
San Marino,SMR,EURO,REPORTING,2021-03-16,7910,7875,23.3,23.204,"Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-02-24,2
Martinique,MTQ,AMRO,REPORTING,2021-03-26,13963,9935,3.721,2.647,,,
Saudi Arabia,SAU,EMRO,REPORTING,2021-03-23,3556058,,10.214,,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-06,3
Paraguay,PRY,AMRO,REPORTING,2021-03-26,18290,16802,0.256,0.236,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Sinovac - CoronaVac",2021-02-22,4
Sao Tome and Principe,STP,AFRO,REPORTING,2021-03-26,10723,,4.893,,AstraZeneca - AZD1222,2021-03-15,1
Turkey,TUR,EURO,OWID,2021-03-31,15834787,8994454,18.8,10.665,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac",,2
Aruba,ABW,AMRO,REPORTING,2021-03-26,21602,12835,20.233,12.022,Pfizer BioNTech - Comirnaty,2021-02-17,1
